일시,시도,시·군·구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2022-08-25 16:11,충청남도,아산시,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",기타,기타,0,0,0,5830,"자동차,철도차량",농업기계,기타 농업기계
2022-08-25 16:57,부산광역시,해운대구,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,기타(전기적요인),"전기,전자","콘센트, 스위치류",0,0,0,0,생활서비스,음식점,한식
2022-08-25 17:05,광주광역시,남구,"자동차,철도차량","마찰, 전도, 복사","화염 전도,복사열",부주의,기타(부주의),"종이,목재,건초등",종이,0,0,0,495,"자동차,철도차량",자동차,화물자동차
2022-08-25 18:05,부산광역시,부산진구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,빨래삶기,"침구,직물류","행주, 기름걸레",0,0,0,0,주거,공동주택,아파트
2022-08-25 18:20,충청북도,충주시,기타(쓰레기 화재등),"불꽃, 불티","기타(불꽃,불티)",자연적인 요인,기타(자연적인요인),기타,기타,0,0,0,162,기타,야외,기타야외
2022-08-25 18:36,부산광역시,금정구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,110,주거,공동주택,아파트
2022-08-25 18:49,서울특별시,강서구,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치",식품,기타(식품),0,0,0,180,생활서비스,음식점,한식
2022-08-25 20:01,광주광역시,북구,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",방화의심,방화의심,가구,"침대, 매트리스",1,0,1,14026,주거,단독주택,단독주택
2022-08-25 20:14,경기도,수원시권선구,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"자동차,철도차량,선박,항공기",전기배선,0,0,0,7400,"자동차,철도차량",자동차,승용자동차
2022-08-25 20:19,전라남도,무안군,"선박,항공기",미상,미상,미상,미상,미상,미상,0,0,0,7700,"선박,항공기",선박,어선
2022-08-25 20:20,서울특별시,영등포구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전자기기 부속품,0,0,0,3895,주거,단독주택,단독주택
2022-08-25 21:12,경상남도,거제시,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,2551,산업시설,공장시설,그 밖의 공업
2022-08-25 22:40,서울특별시,서대문구,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"자동차,철도차량,선박,항공기",전기배선,0,0,0,550,"자동차,철도차량",자동차,화물자동차
2022-08-25 23:00,부산광역시,해운대구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,0,주거,단독주택,다가구주택
2022-08-25 23:11,경기도,수원시팔달구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","전기,전자",전선피복,0,0,0,2081,"판매,업무시설",숙박시설,기타 숙박시설
2022-08-25 23:58,서울특별시,중랑구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,1,생활서비스,음식점,한식
2022-08-26 00:06,서울특별시,성동구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자","전기, 전자기기 내부배선",0,0,0,110,주거,공동주택,아파트
2022-08-26 00:10,서울특별시,영등포구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,층간단락,"전기,전자","작동장치(모터, 히터, 램프 등)",0,0,0,492,"판매,업무시설",숙박시설,호텔
2022-08-26 00:33,울산광역시,울주군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,3146,기타서비스,기타건축물,기타 건축물
2022-08-26 00:36,부산광역시,사상구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,쓰레기 소각,쓰레기류,쓰레기,0,0,0,290,주거,공동주택,아파트
2022-08-26 00:37,제주특별자치도,제주시,"자동차,철도차량","불꽃, 불티","모닥불, 연탄, 숯",방화의심,방화의심,"자동차,철도차량,선박,항공기",좌석시트,1,0,1,115,"자동차,철도차량",자동차,승용자동차
2022-08-26 01:08,충청북도,제천시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",위험물등,기계유,0,0,0,166722,산업시설,공장시설,금속기계 및 기구공업
2022-08-26 01:47,강원특별자치도,삼척시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,33,"판매,업무시설",판매시설,상가빌딩
2022-08-26 02:40,대전광역시,유성구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"전기,전자",전자기기 부속품,0,0,0,50450,산업시설,공장시설,"전기, 전자공업"
2022-08-26 03:14,서울특별시,종로구,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,가연물 근접방치,가구,"테이블, 의자",0,0,0,55,생활서비스,음식점,"커피숍,다방,카페(휴게)"
2022-08-26 03:18,서울특별시,서초구,"자동차,철도차량","마찰, 전도, 복사","화염 전도,복사열",부주의,가연물 근접방치,"종이,목재,건초등",종이,0,0,0,4,"자동차,철도차량",자동차,화물자동차
2022-08-26 04:17,울산광역시,남구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,0,기타,야외,쓰레기
2022-08-26 05:58,서울특별시,마포구,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"자동차,철도차량,선박,항공기",부품,0,0,0,2904,"자동차,철도차량",자동차,승용자동차
2022-08-26 06:20,경기도,안성시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,미상,미상,0,0,0,4659,산업시설,동식물시설,기타 동식물시설
