일시,시도,시_군_구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2023-03-15 14:47,제주특별자치도,서귀포시,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,가연물 근접방치,가구,"침대, 매트리스",0,0,0,23998,주거,단독주택,단독주택
2023-03-15 15:00,경상북도,영천시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,938,주거,공동주택,아파트
2023-03-15 15:13,경상북도,영덕군,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,0,0,0,330,기타,야외,기타야외
2023-03-15 15:13,서울특별시,송파구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",나무,0,0,0,17,기타,야외,기타야외
2023-03-15 15:17,충청북도,청주시 상당구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,4063,생활서비스,음식점,한식
2023-03-15 15:20,서울특별시,마포구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,기타 쓰레기,0,0,0,175,주거,단독주택,다가구주택
2023-03-15 15:23,경상남도,김해시,임야,"마찰, 전도, 복사","마찰열,마찰 스파크",교통사고,교통사고,"종이,목재,건초등","풀, 나뭇잎",0,0,0,231,임야,산불,사유림
2023-03-15 15:26,경기도,파주시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,1841,주거,공동주택,아파트
2023-03-15 15:28,경상남도,거제시,"자동차,철도차량",미상,미상,미상,미상,미상,미상,0,0,0,18700,"자동차,철도차량",자동차,승용자동차
2023-03-15 15:37,경상남도,통영시,임야,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",0,0,0,82,임야,들불,기타 들불
2023-03-15 15:49,충청북도,음성군,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,"불씨,불꽃,화원방치",쓰레기류,재활용,0,0,0,303,기타,야외,야적장
2023-03-15 16:02,충청북도,청주시 상당구,기타(쓰레기 화재등),"불꽃, 불티",비화,부주의,쓰레기 소각,쓰레기류,쓰레기,0,0,0,1100,기타,야외,야적장
2023-03-15 16:41,경기도,파주시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,11730,"의료,복지시설",의료시설,병원
2023-03-15 16:50,전라남도,담양군,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,298,기타,야외,기타야외
